id,value,feed_id,created_at,lat,lon,ele
0FD34MV7TD0Y00Y9MM9NZC5K4E,33,2497174,2023-09-09 15:20:32 ,,,
0FD34N04YPW7CB74SCKCK0EV76,33,2497174,2023-09-09 15:20:48 ,,,
0FD34N524Q4VMD2M0MBZXADWTK,33,2497174,2023-09-09 15:21:04 ,,,
0FD34N9ZCT09Z8RKTSP8EXTX7Q,33,2497174,2023-09-09 15:21:20 ,,,
0FD34NEXK5W22EV4GPZCNPNT43,33,2497174,2023-09-09 15:21:36 ,,,
0FD34NJ9C0B5V513MPCF6BD8QK,33,2497174,2023-09-09 15:21:47 ,,,
0FD34NQ7FQSGSH9XR8MPVQMTKY,33,2497174,2023-09-09 15:22:04 ,,,
0FD34NW4C8429A42XD0B60YWPV,33,2497174,2023-09-09 15:22:20 ,,,
0FD34P124EE14SHNNCMYZTE4KX,33,2497174,2023-09-09 15:22:36 ,,,
0FD34P4EWAGW8MMZAQYMHDJ3BA,33,2497174,2023-09-09 15:22:47 ,,,
0FD34P9D7CS9EKAVW8Z9B8FPPC,33,2497174,2023-09-09 15:23:03 ,,,
0FD34PEA8JBQMZA8VRJ46B5HM8,33,2497174,2023-09-09 15:23:19 ,,,
0FD34PKE0YG4HZ3FSNXXX88P99,33,2497174,2023-09-09 15:23:36 ,,,
0FD34PR56CBZDA1B84F3P6WGWG,33,2497174,2023-09-09 15:23:51 ,,,
0FD34PVH3X3C51D98ZTHW00GB7,33,2497174,2023-09-09 15:24:02 ,,,
0FD34Q0ERFNJ3JK1KS27QMTPJC,33,2497174,2023-09-09 15:24:19 ,,,
0FD34Q688Y3WNFVGBHNJY8P9QP,33,2497174,2023-09-09 15:24:38 ,,,
0FD34QAA0QXR8N7AS6JW94RKA6,33,2497174,2023-09-09 15:24:51 ,,,
0FD34QDP7JRQGQWE9ZSM57NRQF,33,2497174,2023-09-09 15:25:02 ,,,
0FD34QJM5BG294F7RRPPMYA0DH,33,2497174,2023-09-09 15:25:18 ,,,
